Date, Close/Last, Volume, Open, High, Low
05/16/2016,$145.79,2614843,$144.50,$146.58,$143.40
05/13/2016,$144.50,2980511,$146.33,$146.72,$144.30
05/12/2016,$146.72,2860459,$147.32,$147.77,$146.32
05/11/2016,$147.12,2812658,$148.39,$148.69,$146.58
05/10/2016,$149.56,1943778,$149.38,$149.98,$148.75
05/09/2016,$148.59,2843827,$146.83,$148.97,$146.51
05/06/2016,$146.44,3691466,$147.06,$147.50,$144.74
05/05/2016,$147.84,4868684,$148.98,$150.38,$146.37
05/04/2016,$151.51,2111568,$150.12,$152,$149.44
05/03/2016,$151.41,2200684,$150.08,$152.53,$149.60
05/02/2016,$150.93,3361154,$148.76,$151.42,$147.75
04/29/2016,$148.13,3588022,$150.01,$150.98,$147.46
04/28/2016,$151.44,2198141,$152.01,$153.65,$151.14
04/27/2016,$151.77,1492710,$152.24,$152.51,$150.60
04/26/2016,$152.60,1552176,$152.08,$153.45,$151.67
04/25/2016,$151.51,1248190,$149.98,$151.68,$149.47
04/22/2016,$149.92,2233683,$151.05,$151.81,$149.36
04/21/2016,$151.42,2096550,$152.49,$152.74,$150.69
04/20/2016,$152.74,1308762,$153.72,$153.89,$152.60
04/19/2016,$153.68,1578641,$153.78,$153.90,$152.49
04/18/2016,$153.30,1335669,$152.78,$153.71,$152.27
04/15/2016,$153.17,2675923,$151.96,$153.81,$151.84
04/14/2016,$151.40,2419599,$152.59,$152.91,$151.14
04/13/2016,$151.88,2079039,$151.57,$152.08,$150.59
04/12/2016,$150.52,2268327,$149.60,$150.68,$148.51
04/11/2016,$149.05,2275764,$151.34,$151.94,$148.97
04/08/2016,$151.65,2008360,$152.98,$152.98,$150.92
04/07/2016,$152.03,4046603,$154.42,$154.58,$151.48
04/06/2016,$156.77,1572450,$155.81,$157.41,$155.22
04/05/2016,$155.99,1855588,$157.89,$158,$155.72
04/04/2016,$157.73,1458437,$158.68,$158.99,$156.46
04/01/2016,$158.25,1531544,$157.87,$159.09,$157
03/31/2016,$157.58,2692398,$157.96,$159.80,$157.52
03/30/2016,$157.60,2640255,$155.91,$158.24,$155.65
03/29/2016,$155.26,1655948,$152.77,$155.46,$152.52
03/28/2016,$152.67,1767414,$151.80,$153.94,$151.78
03/24/2016,$151.43,2503249,$153.24,$154.08,$150.85
03/23/2016,$153.51,2127227,$152.18,$153.93,$151.64
03/22/2016,$152.23,1943086,$153.21,$153.81,$152
03/21/2016,$153.94,1367369,$152.82,$154.35,$152.47
03/18/2016,$153.15,3617122,$154.58,$154.70,$152.77
03/17/2016,$153.84,1583525,$153.82,$154.74,$153.59
03/16/2016,$154.06,1485464,$153.70,$155,$152.63
03/15/2016,$154.18,1399036,$151.80,$154.42,$151.80
03/14/2016,$152.67,1218403,$152.26,$153.30,$151.65
03/11/2016,$152.71,1829836,$153.85,$154.00,$151.40
03/10/2016,$152.87,1413064,$153.21,$154.69,$151.05
03/09/2016,$153.05,2393193,$151.35,$153.50,$151.31
03/08/2016,$150.95,3155857,$147.66,$151.92,$147.10
03/07/2016,$148.17,3160429,$149.96,$150.89,$147.60
03/04/2016,$150.90,2155470,$151.74,$151.77,$150.03
03/03/2016,$151.60,5552136,$148.56,$151.96,$147.38
03/02/2016,$152.79,2935888,$151.13,$152.95,$150.39
03/01/2016,$150.52,2680725,$150.40,$151.20,$149.38
02/29/2016,$150.03,3123227,$149.99,$152.30,$149.69
02/26/2016,$149.68,3799309,$153.09,$153.41,$148.76
02/25/2016,$154.72,1746833,$154.69,$154.88,$152.86
02/24/2016,$153.87,2589972,$150.03,$154.41,$149.66
02/23/2016,$150.36,1849845,$149.89,$151.76,$149.12
02/22/2016,$150.06,2160923,$149.63,$150.18,$148.49
02/19/2016,$148.70,2471681,$149,$149.14,$146.85
02/18/2016,$148.65,2894200,$149.13,$149.84,$146.82
02/17/2016,$150.91,2174593,$149.75,$151.98,$148.91
02/16/2016,$149.11,2185731,$149.35,$150.64,$147.70
02/12/2016,$148.65,1951162,$147.98,$149.27,$147
02/11/2016,$146.65,2197554,$147.13,$148.39,$144.76
02/10/2016,$148.05,2187416,$149.37,$150.17,$147.58
02/09/2016,$147.94,3201693,$146.24,$149.72,$146.23
02/08/2016,$147.02,3781530,$142.74,$147.55,$141.62
02/05/2016,$143.99,4078956,$143.27,$145.20,$142.40
02/04/2016,$143.28,5339947,$145,$145.14,$141.79
02/03/2016,$146.70,2547026,$149.28,$149.98,$145.45
02/02/2016,$148.50,1931427,$149.99,$150.79,$148.11
02/01/2016,$151.25,2142038,$150.84,$152.19,$150.19
01/29/2016,$151.12,3219971,$149.50,$151.62,$146.91
01/28/2016,$149.59,2076251,$148.55,$149.97,$147.81
01/27/2016,$147.73,2188666,$149.29,$149.59,$146.72
01/26/2016,$148.50,2824664,$150.78,$151.72,$148.30
01/25/2016,$150.78,1820542,$154.07,$154.48,$150.55
01/22/2016,$153.69,2543513,$152.18,$153.71,$151.65
01/21/2016,$150.38,2211807,$148.97,$151.24,$148.11
01/20/2016,$148.82,3794626,$148.46,$150,$144.91
01/19/2016,$150.47,2183367,$151.79,$152,$149.58
01/15/2016,$150.39,2974449,$149.29,$151.52,$148.25
01/14/2016,$153.18,2280122,$151.96,$154.16,$151.33
01/13/2016,$152.12,2155604,$155.97,$156.02,$151.88
01/12/2016,$156.06,2215281,$155.71,$156.43,$154.94
01/11/2016,$154.72,2164669,$152.30,$155.96,$152.12
01/08/2016,$152.11,3153922,$155.28,$155.30,$151.81
01/07/2016,$154.82,3822522,$154.85,$157.06,$153.55
01/06/2016,$158.45,2033222,$158.36,$159.80,$157.63
01/05/2016,$159.93,2127605,$160.17,$161.23,$159.45
01/04/2016,$159.54,2640496,$159.81,$160.10,$157.87
12/31/2015,$161.50,1873395,$162.08,$164,$161.50
12/30/2015,$162.71,888004,$162.96,$163.45,$162.51
12/29/2015,$162.66,1169400,$161.90,$163.23,$161.52
12/28/2015,$161.16,1124719,$161.05,$162.26,$160.40
12/24/2015,$161.75,491044,$161.85,$162.33,$161.44
12/23/2015,$161.71,1580484,$162.43,$162.43,$160.78
12/22/2015,$161.23,1742060,$159.90,$161.39,$159.03
12/21/2015,$159.39,1453411,$158.81,$159.43,$157.33
12/18/2015,$157.70,4284122,$159.79,$160.68,$157.60
12/17/2015,$160.68,1703907,$162.44,$163.58,$160.60
12/16/2015,$162.76,2195751,$161.95,$163.25,$160
12/15/2015,$161.29,2372732,$163.32,$163.74,$160.72
12/14/2015,$161.84,2432883,$160.09,$161.88,$159.41
12/11/2015,$160.02,2508805,$159.73,$161.20,$159.36
12/10/2015,$161.86,3652979,$160.93,$163.41,$160.61
12/09/2015,$159.72,9525221,$162.72,$163.89,$158.22
12/08/2015,$168.87,3152737,$166.74,$169.73,$165.87
12/07/2015,$167.12,2790291,$167.33,$167.50,$165.55
12/04/2015,$166.80,2578333,$164.12,$167.24,$164.01
12/03/2015,$163.67,3438520,$164.51,$166.10,$163.31
12/02/2015,$161.09,1585666,$161.71,$162.44,$160.63
12/01/2015,$161.29,1939522,$162.02,$163.04,$160.74
11/30/2015,$161.42,2823589,$164.17,$164.44,$160.79
11/27/2015,$163.58,866279,$163.11,$164.41,$162.49
11/25/2015,$162.39,1828003,$162.04,$163.00,$161.14
11/24/2015,$162.19,2797968,$162.26,$163.92,$161
11/23/2015,$163.45,1174196,$163.53,$163.90,$162.73
11/20/2015,$163.10,2051142,$164.16,$164.47,$162.75
11/19/2015,$162.83,2959265,$161.69,$163.20,$161.44
11/18/2015,$161.25,2151871,$158.89,$161.40,$157.83
11/17/2015,$158.89,2499561,$157.35,$159.92,$157.02
11/16/2015,$156.45,1778398,$153.81,$156.47,$153.24
11/13/2015,$153.67,2459911,$155.07,$155.25,$153.23
11/12/2015,$156,1656640,$156.12,$156.98,$155.40
11/11/2015,$156.39,1865628,$155.98,$157.43,$155.18
11/10/2015,$156.41,1701404,$155.13,$156.46,$154.60
11/09/2015,$155.16,2290828,$156.81,$157.10,$153.89
11/06/2015,$157.55,1749584,$156.49,$157.96,$155.67
11/05/2015,$156.27,2543943,$154.15,$156.81,$154.02
11/04/2015,$157.15,1652357,$159,$159.03,$156.90
11/03/2015,$158.80,1531102,$158.40,$159.22,$157.38
11/02/2015,$159.15,1260548,$158.99,$159.31,$157.65
10/30/2015,$158.12,2049786,$158,$159.40,$157.30
10/29/2015,$158.28,1498638,$157.06,$158.38,$156.53
10/28/2015,$157.76,1778415,$157.50,$157.93,$155.51
10/27/2015,$157.76,1675064,$157.27,$158.30,$155.56
10/26/2015,$156.73,2499773,$152.06,$157.41,$151.26
10/23/2015,$155.74,2273369,$158.70,$158.80,$154.91
10/22/2015,$158.15,2192010,$155.43,$158.34,$155.08
10/21/2015,$155.21,1812334,$154.80,$155.94,$154.31
10/20/2015,$154.56,1875433,$153.72,$154.88,$153.16
10/19/2015,$153.22,1543687,$152.05,$153.39,$151.92
10/16/2015,$152.06,1647541,$152.32,$152.97,$151.28
10/15/2015,$151.77,1696893,$150.83,$151.90,$150.22
10/14/2015,$149.84,3044221,$152.31,$152.77,$149.10
10/13/2015,$152.28,1492672,$153.23,$154.07,$152.22
10/12/2015,$153.63,1199932,$153.97,$154.48,$153.09
10/09/2015,$153.97,3714182,$150.76,$154.26,$150.44
10/08/2015,$151.66,2370750,$147.61,$151.70,$147.61
10/07/2015,$147.96,2340835,$148.72,$149.32,$147.43
10/06/2015,$148.41,2127576,$148.15,$148.70,$147.36
10/05/2015,$148.07,2272920,$146.24,$148.22,$146.01
10/02/2015,$145.86,2591476,$143.25,$145.91,$142.19
